cleaning;species;size;ratio
Weekly;Acropora formosa;small;0.44
Weekly;Acropora formosa;normal;0.92
Weekly;Acropora formosa;large;2.07
Weekly;Acropora verweyi;small;4.15
Weekly;Acropora verweyi;normal;1.97
Weekly;Acropora verweyi;large;3.73
Weekly;Pocillopora verrucosa;small;0.46
Weekly;Pocillopora verrucosa;normal;1.46
Weekly;Pocillopora verrucosa;large;3.85
Weekly;Porites cylindrica;small;1.98
Weekly;Porites cylindrica;normal;2.89
Weekly;Porites cylindrica;large;4.45
Monthly;Acropora formosa;small;0.2
Monthly;Acropora formosa;normal;0.2
Monthly;Acropora formosa;large;1.1
Monthly;Acropora verweyi;small;4.05
Monthly;Acropora verweyi;normal;0.37
Monthly;Acropora verweyi;large;1.32
Monthly;Pocillopora verrucosa;small;0.21
Monthly;Pocillopora verrucosa;normal;0.51
Monthly;Pocillopora verrucosa;large;1.51
Monthly;Porites cylindrica;small;2.21
Monthly;Porites cylindrica;normal;0.65
Monthly;Porites cylindrica;large;2.48
3-monthly;Acropora formosa;small;0.12
3-monthly;Acropora formosa;normal;0.16
3-monthly;Acropora formosa;large;0.5
3-monthly;Acropora verweyi;small;0.59
3-monthly;Acropora verweyi;normal;0.45
3-monthly;Acropora verweyi;large;0.89
3-monthly;Pocillopora verrucosa;small;0.24
3-monthly;Pocillopora verrucosa;normal;0.27
3-monthly;Pocillopora verrucosa;large;0.85
3-monthly;Porites cylindrica;small;0.64
3-monthly;Porites cylindrica;normal;1.84
3-monthly;Porites cylindrica;large;6.55
Never;Acropora formosa;small;0.09
Never;Acropora formosa;normal;0.08
Never;Acropora formosa;large;0.23
Never;Acropora verweyi;small;0.22
Never;Acropora verweyi;normal;0.2
Never;Acropora verweyi;large;0.39
Never;Pocillopora verrucosa;small;0.11
Never;Pocillopora verrucosa;normal;0.19
Never;Pocillopora verrucosa;large;0.47
Never;Porites cylindrica;small;2.18
Never;Porites cylindrica;normal;0.75
Never;Porites cylindrica;large;1.24
