structure,position,species,date,size,cleaning,survival,SGR
Tree 079,1_1_1,Pocillopora verucosa,2018/12/01,2,1,100,0.011168
Tree 079,1_1_2,Pocillopora verucosa,2018/12/01,3,1,100,0.011252
Tree 079,1_1_3,Pocillopora verucosa,2018/12/01,1,1,100,0.016286
Tree 079,1_1_4,Pocillopora verucosa,2018/12/01,2,1,100,0.015990
Tree 079,1_2_1,Pocillopora verucosa,2018/12/01,3,1,100,0.014599
Tree 079,1_2_2,Pocillopora verucosa,2018/12/01,2,1,100,0.012984
Tree 079,1_2_4,Pocillopora verucosa,2018/12/01,2,1,100,0.022506
Tree 079,1_2_5,Pocillopora verucosa,2018/12/01,1,1,100,0.017993
Tree 079,1_3_1,Pocillopora verucosa,2018/12/01,3,1,100,0.012394
Tree 079,1_3_2,Pocillopora verucosa,2018/12/01,2,1,100,0.013240
Tree 079,1_3_3,Pocillopora verucosa,2018/12/01,3,1,100,0.008666
Tree 079,1_3_4,Pocillopora verucosa,2018/12/01,3,1,100,0.009715
Tree 079,1_3_5,Pocillopora verucosa,2018/12/01,1,1,100,0.021618
Tree 079,2_1_1,Acropora verweyi,2018/12/01,2,1,100,0.009982
Tree 079,2_1_2,Acropora verweyi,2018/12/01,1,1,90,-0.007198
Tree 079,2_1_3,Acropora verweyi,2018/12/01,3,1,100,0.008975
Tree 079,2_1_4,Acropora verweyi,2018/12/01,1,1,100,0.004480
Tree 079,2_1_5,Acropora verweyi,2018/12/01,2,1,100,0.007619
Tree 079,2_2_1,Acropora verweyi,2018/12/01,3,1,100,0.007615
Tree 079,2_2_3,Acropora verweyi,2018/12/01,3,1,100,0.004905
Tree 079,2_2_4,Acropora verweyi,2018/12/01,1,1,100,-0.001604
Tree 079,2_2_5,Acropora verweyi,2018/12/01,3,1,100,0.003879
Tree 079,2_3_1,Acropora verweyi,2018/12/01,3,1,100,0.007191
Tree 079,2_3_2,Acropora verweyi,2018/12/01,1,1,100,0.003237
Tree 079,2_3_3,Acropora verweyi,2018/12/01,2,1,100,0.000180
Tree 079,2_3_4,Acropora verweyi,2018/12/01,2,1,100,0.015647
Tree 079,2_3_5,Acropora verweyi,2018/12/01,1,1,100,0.003998
Tree 079,3_1_1,Acropora formosa,2018/12/01,3,1,100,0.012588
Tree 079,3_1_2,Acropora formosa,2018/12/01,1,1,100,0.013389
Tree 079,3_1_3,Acropora formosa,2018/12/01,1,1,100,0.011974
Tree 079,3_1_4,Acropora formosa,2018/12/01,2,1,100,0.014675
Tree 079,3_1_5,Acropora formosa,2018/12/01,3,1,100,0.019036
Tree 079,3_2_2,Acropora formosa,2018/12/01,3,1,100,0.010176
Tree 079,3_2_3,Acropora formosa,2018/12/01,2,1,100,0.008862
Tree 079,3_2_4,Acropora formosa,2018/12/01,3,1,100,0.013973
Tree 079,3_2_5,Acropora formosa,2018/12/01,1,1,100,0.006745
Tree 079,3_3_1,Acropora formosa,2018/12/01,2,1,100,0.011986
Tree 079,3_3_2,Acropora formosa,2018/12/01,2,1,100,0.013032
Tree 079,3_3_3,Acropora formosa,2018/12/01,1,1,100,0.012838
Tree 079,3_3_4,Acropora formosa,2018/12/01,1,1,100,0.007442
Tree 079,3_3_5,Acropora formosa,2018/12/01,3,1,100,0.012739
Tree 079,4_1_1,Porites cylindrica,2018/12/01,2,1,90,-0.002394
Tree 079,4_1_2,Porites cylindrica,2018/12/01,3,1,100,0.012699
Tree 079,4_1_3,Porites cylindrica,2018/12/01,1,1,100,0.013738
Tree 079,4_1_4,Porites cylindrica,2018/12/01,1,1,100,0.006530
Tree 079,4_1_5,Porites cylindrica,2018/12/01,3,1,100,0.010879
Tree 079,4_2_1,Porites cylindrica,2018/12/01,2,1,100,0.008486
Tree 079,4_2_2,Porites cylindrica,2018/12/01,3,1,100,0.003811
Tree 079,4_2_4,Porites cylindrica,2018/12/01,3,1,100,0.006402
Tree 079,4_2_5,Porites cylindrica,2018/12/01,1,1,100,0.007607
Tree 079,4_3_1,Porites cylindrica,2018/12/01,2,1,100,0.007825
Tree 079,4_3_2,Porites cylindrica,2018/12/01,3,1,100,0.004538
Tree 079,4_3_3,Porites cylindrica,2018/12/01,1,1,100,0.010321
Tree 079,4_3_4,Porites cylindrica,2018/12/01,2,1,100,0.009573
Tree 079,4_3_5,Porites cylindrica,2018/12/01,2,1,100,0.011116
Tree 084,1_1_1,Porites cylindrica,2018/12/01,3,4,100,0.011905
Tree 084,1_1_2,Porites cylindrica,2018/12/01,2,4,100,0.004258
Tree 084,1_1_3,Porites cylindrica,2018/12/01,3,4,90,0.004736
Tree 084,1_1_4,Porites cylindrica,2018/12/01,1,4,100,0.009286
Tree 084,1_1_5,Porites cylindrica,2018/12/01,1,4,100,0.015938
Tree 084,1_2_1,Porites cylindrica,2018/12/01,3,4,80,-0.002566
Tree 084,1_2_4,Porites cylindrica,2018/12/01,1,4,100,0.009494
Tree 084,1_3_1,Porites cylindrica,2018/12/01,2,4,80,0.004379
Tree 084,1_3_2,Porites cylindrica,2018/12/01,1,4,100,0.002486
Tree 084,1_3_3,Porites cylindrica,2018/12/01,3,4,100,0.007611
Tree 084,1_3_4,Porites cylindrica,2018/12/01,2,4,100,0.009365
Tree 084,2_1_1,Pocillopora verucosa,2018/12/01,2,4,100,0.012182
Tree 084,2_1_2,Pocillopora verucosa,2018/12/01,3,4,100,0.008887
Tree 084,2_1_3,Pocillopora verucosa,2018/12/01,1,4,100,0.021452
Tree 084,2_1_4,Pocillopora verucosa,2018/12/01,1,4,100,0.019257
Tree 084,2_1_5,Pocillopora verucosa,2018/12/01,3,4,100,0.004837
Tree 084,2_2_1,Pocillopora verucosa,2018/12/01,3,4,100,0.004581
Tree 084,2_2_2,Pocillopora verucosa,2018/12/01,1,4,100,0.012452
Tree 084,2_2_3,Pocillopora verucosa,2018/12/01,2,4,100,0.017361
Tree 084,2_2_4,Pocillopora verucosa,2018/12/01,3,4,100,0.008777
Tree 084,2_2_5,Pocillopora verucosa,2018/12/01,2,4,100,0.019857
Tree 084,2_3_1,Pocillopora verucosa,2018/12/01,1,4,100,0.007419
Tree 084,2_3_2,Pocillopora verucosa,2018/12/01,1,4,100,0.019393
Tree 084,2_3_3,Pocillopora verucosa,2018/12/01,2,4,100,0.005175
Tree 084,2_3_4,Pocillopora verucosa,2018/12/01,2,4,100,0.011412
Tree 084,2_3_5,Pocillopora verucosa,2018/12/01,3,4,100,0.007946
Tree 084,3_1_1,Acropora formosa,2018/12/01,1,4,80,0.008188
Tree 084,3_1_2,Acropora formosa,2018/12/01,2,4,100,0.013446
Tree 084,3_1_3,Acropora formosa,2018/12/01,3,4,100,0.010180
Tree 084,3_1_4,Acropora formosa,2018/12/01,1,4,100,0.016450
Tree 084,3_1_5,Acropora formosa,2018/12/01,2,4,100,0.012068
Tree 084,3_2_1,Acropora formosa,2018/12/01,2,4,100,0.015778
Tree 084,3_2_2,Acropora formosa,2018/12/01,3,4,100,0.016212
Tree 084,3_2_3,Acropora formosa,2018/12/01,2,4,100,0.013670
Tree 084,3_2_4,Acropora formosa,2018/12/01,1,4,100,0.014206
Tree 084,3_2_5,Acropora formosa,2018/12/01,3,4,100,0.017809
Tree 084,3_3_1,Acropora formosa,2018/12/01,3,4,100,0.006535
Tree 084,3_3_2,Acropora formosa,2018/12/01,2,4,100,0.009441
Tree 084,3_3_3,Acropora formosa,2018/12/01,3,4,100,0.013923
Tree 084,3_3_4,Acropora formosa,2018/12/01,1,4,100,0.013935
Tree 084,3_3_5,Acropora formosa,2018/12/01,1,4,100,0.016040
Tree 084,4_1_1,Acropora verweyi,2018/12/01,1,4,90,0.005023
Tree 084,4_1_2,Acropora verweyi,2018/12/01,3,4,100,0.013876
Tree 084,4_1_3,Acropora verweyi,2018/12/01,2,4,100,0.014674
Tree 084,4_1_4,Acropora verweyi,2018/12/01,1,4,100,0.007136
Tree 084,4_1_5,Acropora verweyi,2018/12/01,3,4,90,0.013215
Tree 084,4_2_1,Acropora verweyi,2018/12/01,3,4,100,0.013543
Tree 084,4_2_2,Acropora verweyi,2018/12/01,2,4,90,0.004408
Tree 084,4_2_3,Acropora verweyi,2018/12/01,3,4,100,0.004972
Tree 084,4_2_4,Acropora verweyi,2018/12/01,2,4,100,0.008090
Tree 084,4_2_5,Acropora verweyi,2018/12/01,1,4,50,-0.002226
Tree 084,4_3_1,Acropora verweyi,2018/12/01,1,4,30,-0.001739
Tree 084,4_3_2,Acropora verweyi,2018/12/01,2,4,100,0.002426
Tree 084,4_3_3,Acropora verweyi,2018/12/01,3,4,100,0.015706
Tree 084,4_3_4,Acropora verweyi,2018/12/01,1,4,100,0.010139
Tree 084,4_3_5,Acropora verweyi,2018/12/01,2,4,100,0.015226
Tree 088,1_1_1,Pocillopora verucosa,2018/12/01,3,2,100,0.013179
Tree 088,1_1_2,Pocillopora verucosa,2018/12/01,3,2,100,0.015542
Tree 088,1_1_3,Pocillopora verucosa,2018/12/01,2,2,100,0.014326
Tree 088,1_1_4,Pocillopora verucosa,2018/12/01,3,2,100,0.011335
Tree 088,1_1_5,Pocillopora verucosa,2018/12/01,3,2,100,0.014682
Tree 088,1_2_1,Pocillopora verucosa,2018/12/01,2,2,100,0.013264
Tree 088,1_2_2,Pocillopora verucosa,2018/12/01,1,2,100,0.009084
Tree 088,1_2_3,Pocillopora verucosa,2018/12/01,2,2,100,0.017465
Tree 088,1_2_4,Pocillopora verucosa,2018/12/01,1,2,100,0.014594
Tree 088,1_2_5,Pocillopora verucosa,2018/12/01,2,2,100,0.013433
Tree 088,1_3_1,Pocillopora verucosa,2018/12/01,3,2,100,0.009044
Tree 088,1_3_2,Pocillopora verucosa,2018/12/01,1,2,100,0.008488
Tree 088,1_3_3,Pocillopora verucosa,2018/12/01,1,2,100,0.011019
Tree 088,1_3_4,Pocillopora verucosa,2018/12/01,1,2,100,0.012195
Tree 088,1_3_5,Pocillopora verucosa,2018/12/01,2,2,100,0.019043
Tree 088,2_1_1,Acropora verweyi,2018/12/01,2,2,90,0.004877
Tree 088,2_1_2,Acropora verweyi,2018/12/01,3,2,100,0.011114
Tree 088,2_1_3,Acropora verweyi,2018/12/01,3,2,100,0.006372
Tree 088,2_1_4,Acropora verweyi,2018/12/01,2,2,80,0.001621
Tree 088,2_1_5,Acropora verweyi,2018/12/01,1,2,60,0.003834
Tree 088,2_2_1,Acropora verweyi,2018/12/01,3,2,100,0.007763
Tree 088,2_2_3,Acropora verweyi,2018/12/01,2,2,100,0.015822
Tree 088,2_2_4,Acropora verweyi,2018/12/01,1,2,80,0.003072
Tree 088,2_2_5,Acropora verweyi,2018/12/01,1,2,60,-0.006788
Tree 088,2_3_1,Acropora verweyi,2018/12/01,3,2,100,0.012246
Tree 088,2_3_2,Acropora verweyi,2018/12/01,2,2,90,0.006801
Tree 088,2_3_3,Acropora verweyi,2018/12/01,3,2,100,0.009893
Tree 088,2_3_4,Acropora verweyi,2018/12/01,1,2,40,0.002994
Tree 088,2_3_5,Acropora verweyi,2018/12/01,2,2,80,0.007501
Tree 088,3_1_1,Acropora formosa,2018/12/01,1,2,80,0.004619
Tree 088,3_1_2,Acropora formosa,2018/12/01,1,2,90,0.010275
Tree 088,3_1_3,Acropora formosa,2018/12/01,2,2,100,0.010679
Tree 088,3_1_4,Acropora formosa,2018/12/01,3,2,60,-0.006753
Tree 088,3_1_5,Acropora formosa,2018/12/01,3,2,100,0.006190
